id,female,age,pc1,app1,gw1,pw1,par1,teach1,mate1,fri1,mot1,aff1,aut1,pc2,app2,gw2,pw2,par2,teach2,mate2,fri2,mot2,aut2,aff2,acomp2,aca_imp,pc3,app3,gw3,pw3,par3,teach3,mate3,fri3,mot3,aff3,aut3,acomp3,pc4,app4,gw4,pw4,par4,teach4,mate4,fri4,mot4,aff4,aut4,acomp4,roman4
1174,0,15,3.5,3.5,3.75,3.4,3.2,3,2.8,3.6,2.6,3.33,3.2,3.25,3,3.25,3.4,2.6,2.8,2.4,2.2,3,3,2.33,.,2.95,3,3,3,3,3,3,2.8,3,3,3,2.8,3,3,3,3,3,3,3,2.8,3,3,3,3,3,2.8
1175,0,16,3.25,4,4,3.2,3,2.5,3.25,2.75,.,2.67,.,.,.,.,.,.,.,.,.,.,.,.,.,2.78,4,4,4,4,4,4,4,4,3.6,3.67,3.6,4,.,.,.,.,.,.,.,.,.,.,.,.,.
1176,0,14,3.75,2.5,3.75,3.8,3.8,3,4,4,3.2,3.33,4,3.75,3,3.25,3.2,4,4,3.8,4,2.8,2.2,4,.,3.11,3.75,4,4,4,4,4,3.8,4,3.4,4,3.4,2.4,3.5,2.75,3.75,3.8,3.8,3.6,4,4,3.6,4,3.6,2.4,4
1177,0,15,4,4,4,4,3.2,2.8,2.8,2.8,2.4,4,3,3,2,2.75,3.4,1.6,2.2,2.4,2.6,2,3.2,2.33,.,3.45,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3.4,3,4,3.6,3.6,4
1178,0,15,3.75,2.5,2.5,4,3.6,3.2,3.4,3.2,3.2,3.33,3.2,.,.,.,.,.,.,.,.,.,.,.,.,.,3.5,3.25,3,3.2,3.4,2.8,3,2.8,2.8,4,2.8,3,2.5,2.25,2.75,2.8,3,2.8,3.4,2.8,3,3,2.2,3.2,3.4
1179,0,14,3.25,3.25,2.75,2.6,3,3,3,3,2.8,3,3,3.25,3.75,3.75,3.6,3.4,3,3,2.8,2.8,3,3,.,3.07,3.75,4,3.75,3.8,3.2,3.2,3.2,3.4,2.8,3.67,3,2.6,4,4,4,4,4,4,4,4,3.4,4,3.4,3.2,3.4
1180,0,14,3.75,4,3.75,3.6,2.4,2.6,3,2.4,2.4,2.67,3,3.25,2.25,2.5,2.8,2.2,2,2.4,2.6,3,2.8,2.67,.,2.67,4,4,4,4,3.2,3,3.2,3.8,3.2,3.33,2,4,.,.,.,.,.,.,.,.,.,.,.,.,.
1181,1,14,1.75,2,3,2,4,2.8,3.6,4,3.6,1,4,1.75,2,3.75,2,4,4,4,4,3.6,3.2,1,.,3.76,1.75,2.5,3.5,2,4,4,4,4,3.8,1,4,4,1.5,2,3.75,2.2,4,4,4,4,4,2.33,4,4,1.2
1182,0,14,2,3.25,2,2.8,3.4,3.4,2.4,2.2,2.4,2,3.2,2.5,2.75,2.75,2.6,3,3.2,2.2,2.4,1.8,1.2,3,.,3.11,1.5,1.75,1.5,1.4,3.8,3.4,3.2,3.2,2.4,1.33,1.2,3.2,1.5,1.75,1.5,1.8,3,3.2,2.2,2,2.2,2.33,1.4,3.4,1
1183,0,14,3.25,3.75,3.75,3.6,3.6,3.8,4,3.8,2.6,2.33,4,3,2.75,3,3.2,3.8,4,4,4,3,3.6,2.33,.,3.34,2.5,2.25,3.25,2.6,4,4,4,4,3.2,3,3.2,3.8,4,1.75,2.75,3,2.4,2.8,2.6,2.6,3.8,3,2.2,2,2.2
1184,0,14,2.5,2.75,3,2.4,3.2,2.6,2.4,2.8,2.6,2.33,2.8,2.75,2.5,3,2.2,2.2,2.8,2.6,2.4,2.2,2,2.33,.,3.82,3,3,2.75,2.8,2.2,2.8,2.8,2.6,2.2,2,2.2,2.4,2.75,2.75,2.75,2.8,2.4,2.6,2.4,2.4,2.6,2.33,2.6,2.6,2.8
1185,0,14,2.75,2.5,3.25,1.8,1.6,2.2,3.2,2,2.6,1,1.6,3.5,2,2.5,2,2,2.4,2.8,2,3.8,1.2,1,.,3.09,2.5,2.5,2.75,1.8,2.4,2.2,2.8,2.8,3.4,1,2.8,3,3,3,3.5,3.4,2,2,3.6,2.6,2.6,1,3,3,2.2
1186,0,14,4,2.25,2.75,3.8,4,3,2.6,3.8,3.8,3.67,2.2,4,1.75,3,4,4,2.6,2,2,3.6,2.6,4,.,1.44,4,2,3,3,4,3.4,2,2.6,3.4,4,2.2,4,4,1.75,3.25,4,3.4,3.4,2.6,4,3.4,4,3.2,4,2.2
1187,1,14,1.5,1.25,4,1.6,4,3,3.4,4,2,1,1.6,1.25,1.5,3.75,1.8,4,3.4,3,4,1.8,1.8,1,.,3.77,1,2.5,4,1.6,4,3.4,3.4,4,2,1,2,4,1.75,1.75,3.5,1.6,4,3.2,3.8,4,2,1.33,2,3.8,1
1188,0,14,2.25,3,3.25,3,4,3.4,2.8,2.6,3,3,3,2.25,2.75,3.5,3,4,3,3,2,3,3.4,3,.,2.32,2.25,3,3.5,3,4,3.6,2.6,3,3,3,2.8,3,2.25,2.75,3,3,3,3,3,2.4,2.8,3,2.8,3,2.4
1189,1,14,2.75,3,4,2.2,3.8,3.8,3.4,4,3.8,4,4,2.25,2.75,3.5,2.4,4,4,3.6,4,3.8,3.6,1.67,.,3.59,1.25,1,3.25,1.6,4,4,2.6,3,4,1,2.8,4,2,2.75,4,3,4,4,3.6,4,4,1,3.6,3.6,3.2
1190,1,14,2.75,3.5,3.75,2.8,3.6,3.8,4,4,3,1.67,4,1.25,3,3.25,2.4,3.4,4,3.4,4,1.8,3.4,1.33,.,3.64,2.25,3.5,3.5,3.4,3.6,4,3.8,4,2.2,1.67,3.8,3.6,2,3.5,3.5,2.4,3.6,3.8,3.4,4,1.6,1.33,3.6,4,3.4
1191,0,14,3.5,2.75,3.5,3.8,3.2,2.8,3.4,2.6,3.2,3,2.6,3.25,2.25,2.25,3,2.6,2.2,3.4,2.4,2,2.4,3.67,.,1.5,4,4,3.75,3.6,4,4,3.4,2.2,3.2,4,3.4,3.2,4,4,4,4,3.4,3.4,3.6,3,2.8,4,2.6,3.2,3.4
1192,0,14,3.25,4,4,3.4,2.8,3.2,3.4,3.4,2.8,4,2.8,2.75,2,2.5,2.6,2,2.6,3,2.4,2.8,2.8,3.33,.,2.1,2.5,2.25,3.25,2.8,3.2,3,3.2,3.8,2.4,3,2.2,4,3,1.75,2.5,2.4,2.8,2.6,2.6,2,2.4,2.33,2.4,2.2,2.8
1193,0,14,4,4,4,3.4,2.2,2.8,2.2,2.2,2.2,4,2.2,.,.,.,.,.,.,.,.,.,.,.,.,3.7,.,.,.,.,.,.,.,.,.,.,.,.,4,3.75,3.75,3.8,4,3,3.8,4,4,4,3.8,4,4
1194,1,14,2.5,3,3.25,2.8,2.4,2.8,3,3.4,2.6,3,2.6,2.5,3,3,3,2,3,3,3,2.8,2.8,3,.,2.56,2,2.25,2.25,2.8,2,2,2,3,2.6,3,2,2.6,2.25,2,2.75,2,1.2,2.2,3.2,4,2.8,2,2,3.8,2
1195,0,14,2.75,3,2.5,3,3.4,2.2,2,1.8,2.8,3,2,3.25,3,2.25,3,3,1.8,2.4,2.8,2.6,2,2.67,.,2.75,3.25,2.5,2.5,3,3.6,2,2.4,2.6,3.4,3,2.2,3,3,3,2.75,3,3,2,2.8,3,2.8,3,2,3,2.6
1196,0,15,4,3.25,4,4,3.8,3.6,3.2,3.8,3.8,4,3,4,3,3,3.2,2.8,3.4,2.4,2.2,3.2,2.2,3,.,2.78,4,4,4,4,3.2,4,4,4,3.4,4,3,3.4,4,4,4,4,4,4,4,4,4,4,3.4,4,4
1197,0,14,3.75,3,4,3.6,3.6,3.6,2.6,3.6,3.2,3.67,3.4,4,2.5,3.5,3.4,4,4,3,4,4,3.8,4,.,3.64,3.75,2.75,3.75,3,4,4,2.8,4,3.8,3,3.6,4,.,.,.,.,.,.,.,.,.,.,.,.,.
1198,0,14,2.5,3.25,3.25,2.8,3.4,3.8,2,3.2,2.2,1,2.2,.,.,.,.,.,.,.,.,.,.,.,.,3.54,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1199,0,14,3.75,3.25,4,3.4,3.8,3.2,3.4,4,3.8,1,2.8,3.25,2.75,3.25,3.4,3.8,2.4,3,4,3.6,2.4,3,.,2.41,3.75,2.5,3.25,3.2,3.2,2.8,3.4,4,3.6,1,2.2,3.2,3.75,2.5,3.25,2.6,3.4,3,3.4,4,3.6,1.33,1.8,3.6,3.6
1200,1,14,3,3,3.25,2.8,4,4,3.8,4,3.8,3.67,3,3.5,3.5,3.5,2.8,4,3.4,3.8,4,3.8,2.8,4,.,2.72,3.5,4,3.75,3.2,4,4,3.8,4,4,4,3,3.6,3.75,2.75,4,3,4,4,3.8,4,4,4,3,3.8,3.4
1201,0,14,3.75,3.5,3.5,3.8,2.4,2.8,2.8,4,3.6,4,2.4,3,3,3.25,3,2.2,2.8,2.8,3,3.2,2.2,3.33,.,3.28,3,3,3,3,3,3,2.8,3,3.6,3.33,3,3.8,4,4,3.5,4,2.2,3.6,3.4,3.4,4,4,2.8,4,1.8
1202,1,14,2.75,2,3,2.2,3.4,2,2.6,2.8,3.2,2.33,2.4,2.75,2,2,2,3.2,1.6,3,4,3.8,2.4,3,.,2.93,2.75,2,2.25,2.2,2.8,1.4,2.2,4,3.6,3,2.6,3,3,2,3.5,2.6,3.2,1,3.2,4,4,2.33,2.4,3.8,2.4
1203,0,14,4,4,4,4,4,4,3.4,4,4,4,4,4,3,4,4,4,3.4,4,4,4,3.4,4,.,3.58,4,4,4,4,4,4,4,4,4,4,4,4,4,3.75,3.75,3.8,4,3,3.8,4,4,4,3.8,4,4
1204,0,15,2.25,2,3.5,2.4,2,3.2,2.4,3.2,2.8,3.33,1.8,.,.,.,.,.,.,.,.,.,.,.,.,2.88,3.75,2,1.25,2.2,3.6,4,2.4,3.2,3.4,4,3.2,3.2,.,.,.,.,.,.,.,.,.,.,.,.,.
1205,1,16,2.75,1.75,3.25,2,4,3.6,3.6,4,3,3,2,2.75,1.5,2.25,1.8,3.8,4,3.6,4,3.4,2,3,.,3.25,3,2,2.75,2,3.8,3.2,3.2,3.6,3,3,2,4,3,2,3,1.8,3.8,3,3.4,3.8,3.2,3,2,3.8,3
1206,.,14,2.25,2.5,2.25,2,2.8,2.8,3,2.2,2.2,2.67,2.6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1207,0,14,3,3.75,3.5,3,2.8,2.8,3.2,2.6,3.6,2,2.4,3,3,3.25,3.2,3.2,3,3.2,3.4,2.6,2.6,2.33,.,3.38,3,3,3,3,3.4,3.4,3.6,3.6,2.8,3,2.6,2.6,3,3.25,3,3,3,3,3,3.2,2.8,2,1.8,3,3
1208,1,14,2,1.5,2.5,1.6,3.6,3.6,3,3.4,2.8,1.33,2.8,2,1.75,2.5,1.6,3.4,4,3.2,4,2.6,2.8,3.33,.,2.58,2.75,2.5,2.75,2.6,3.6,3.8,3.4,4,2.6,3,3,3,2.25,2.25,2.5,2,3.2,3,2.8,2.8,2.4,2,2.6,3,2.2
1209,1,14,1.5,2.25,3.25,2.4,3.8,3.4,3,4,2.6,1.33,3.2,2.25,2,2.5,1.8,3.4,3.8,3.4,4,2.4,3.2,1.33,.,3.41,2.25,2.75,3,2.8,2.6,2.4,2.6,2.6,3.2,2.33,3,3,2.25,3,2.75,2.4,2.6,2.2,2.4,2.6,2.4,1.67,3,2.6,2.4
1210,0,14,3.5,2.75,3,3.2,3.8,3.2,3.4,3.6,3.4,3,2.8,3,3,3,3.2,4,2.6,3.6,4,3.8,2.2,2.33,.,3.48,3,2.75,3.25,3,3.8,3.2,3.8,3.8,3,2.33,2.8,2.8,3.25,2.5,3,3.6,4,4,4,4,3.4,2.67,2.8,3,3.4
1211,0,14,4,3.5,3.75,4,4,3.4,3.8,4,3.4,3.67,3.8,3.75,4,4,3.8,4,4,4,4,3,3.8,4,.,3.49,3.75,3.75,4,4,4,4,4,4,3.6,4,3.4,3.6,3.75,3.75,4,4,4,4,3.8,4,3.6,4,3.6,3.8,3.8
1212,1,15,1,1.5,3,1.6,3.8,3,2,3.2,1,1,1.6,1.25,3,3.25,1.6,4,2.4,3.2,3.2,1.6,1,1,.,3.4,1.25,3,2.5,1.8,3,2,2,3,1,1,1.6,.,1,3,3,1,2.4,2,2.4,3,1.6,1,1.6,2.8,3.4
1213,0,14,2.5,3,3.5,3,3.2,2.6,3.4,3.2,2.6,3.33,2.6,2.5,3.25,3.25,2.6,3.2,2.6,3.8,3.4,2.6,2.4,3,.,2.49,3,3.25,3,3,3.2,2.8,3.2,3,2.8,3,2.4,3.8,4,4,4,4,4,4,4,3.4,3.4,4,4,3,4
1214,0,14,4,4,4,4,3,3.4,3.4,3.4,3.2,4,3.8,.,.,.,.,.,.,.,.,.,.,.,.,.,4,4,3.75,3.6,3.4,2.8,3.4,3,3.4,4,4,3.4,4,4,3.5,4,3.2,2,3.8,3.8,3.4,4,3.6,3.4,3.4
1215,0,14,3,3.5,4,3.4,3.8,2.4,3,3.6,3.2,3,3.6,3.25,3.5,3.5,3.6,4,2.8,3,3.4,3.6,4,3.67,.,2.91,3,3.25,3.5,3.4,4,3.2,2.8,3,3,4,3.8,4,3.5,4,3.75,3.4,4,3.2,3.4,3.2,3.2,4,4,4,3.2
1216,0,14,3.25,4,4,4,4,3.4,4,4,3.6,4,3.6,4,4,4,4,4,4,4,4,3.6,3.8,3,.,3.74,4,4,4,4,4,4,4,4,3.6,3,4,3.8,.,.,.,.,.,.,.,.,.,.,.,.,.
1217,0,15,4,3.25,4,3.8,3.8,3.4,4,3.8,3.4,3.33,2.6,3.25,3.5,4,3.4,3.4,3.6,3.4,3,3.6,2.4,3.33,.,2.69,3.5,4,3.5,4,2.8,3.6,3.6,3.2,3.4,3.67,2.2,3.2,3.25,3,3.25,3,3.6,3,3.4,3.6,3,3.33,2.6,3,2.8
1218,1,14,2,2.75,3.75,2.6,4,3.2,3.6,4,2.6,1,2.6,2.75,3,3.25,2.2,3.8,3.4,3.6,4,3,2.6,2.33,.,3.01,2.25,3,3.5,2.6,3.8,4,4,4,3,2,3.2,3.4,.,.,.,.,.,.,.,.,.,.,.,.,.
1219,0,14,2.75,2.5,3.25,3.4,3.6,2,2.4,2,3,3.33,2.4,3.25,2.25,3,3.8,3.8,2.4,2.4,1.6,3,3.2,3.33,.,1.28,3.25,2,2.5,3.2,3,2,2.8,2.2,3.8,3,2.6,3,.,.,.,.,.,.,.,.,.,.,.,.,.
1220,0,14,3,3.25,3.25,3.6,3.4,3.2,3.4,2.8,3,3.67,3.2,3,3.5,3.25,3.8,3.2,3.4,3.4,3,3.4,3.2,3.33,.,2.78,3.25,4,3.75,4,3.4,3.8,3.4,3.2,3.2,3.67,3.8,3,3.5,4,3.75,4,3.8,3.8,3.6,4,3.4,4,3.8,3.2,3.8
1221,1,15,2.5,2.25,3,2.6,2.8,3,3,3,2.8,3,3,2.75,2.25,3,2.8,2.8,3,3,3,2.8,3,3,.,2.98,3,3,3,2.8,2.8,3,3,3,2.8,3,3,3,3,2.75,3,2.6,3,3,3,3,2.8,3,3,3,3
1222,1,14,1.75,1.25,2.75,1.6,2.8,3,3.2,4,2,2,2.6,2,1,2.5,1.6,3,3.6,3,3.8,2.8,2.8,3,.,3.21,2,1,2.5,2,3.4,3.2,3,4,2.6,2.67,2.6,2.6,1.75,1,1.75,1.6,3.2,3.6,3,4,2.6,3,2.4,2.8,1.4
1223,0,14,3.25,3.5,3.5,3.8,3.8,2.8,4,3,2.6,2.67,3,3.75,3,3.5,3,3.4,3,3.4,3.2,2.4,2.8,3,.,2.96,3.5,3.75,3.75,3.2,3.6,3.2,3.4,3.2,2.6,3.33,3,2.6,3.25,3.75,3.25,3.2,3.8,3.4,3.4,3,2.4,3.33,2.8,4,3.2
1224,0,14,2.75,2,3.25,2.8,3.8,3.8,3,3.2,3.2,4,3.4,2.75,2.5,3,2.6,3.8,3.4,2.8,3,2.6,2.4,3.67,.,3.07,3.25,2.5,3.25,3,4,3.2,2.8,3,3.2,4,2.8,3.4,3.25,2.5,3,3,4,3.8,2.8,3,3.2,4,2.8,3.2,2.6
1225,0,14,3,2.75,2.75,3.2,2.8,2.8,2.8,3,2.8,4,2.8,3.75,3,3.75,4,4,3.4,4,4,3.6,3.2,4,.,3.18,3,2.75,3,3,3,3,3,3,3.4,3.33,2.8,3,4,4,4,4,4,4,4,4,4,4,4,3,3.2
1226,1,14,2.25,2,2.75,2.2,4,3,3.2,4,3.6,3,3.4,2.25,2,2.5,2,3,3,3.4,4,2.8,2.6,3,.,3.22,2.75,2.75,3,2.8,4,4,3.8,4,3.4,4,2.8,4,3,2.25,3.5,2.8,3.4,4,3.6,4,3.4,4,4,3.8,2.8
1227,1,15,2,4,4,2.4,2,2.8,3.4,4,2.2,2,2.8,.,.,.,.,.,.,.,.,.,.,.,.,.,2.25,3,3.25,3,2.2,2.2,3.2,3,2,2,2.4,3,2,3.25,3.25,2,2.2,2.2,2.6,3,2,2,2.8,2.2,3
1228,0,14,3,2.25,3.75,3,2.6,3.4,3.6,4,3.4,3.67,3,3,2,3.25,2.8,3,3.2,3.4,3.8,3.4,2.8,3,.,3.4,3,2,3.25,2.8,3,3.6,3.4,4,3.4,3,3,4,.,.,.,.,.,.,.,.,.,.,.,.,.
1229,1,17,3,3.75,4,3,3.2,3.2,3.6,4,2.6,1,1,3,4,3.75,3.8,3.6,3.8,3.6,4,2.8,1.8,1,.,3.67,2.75,4,4,3.6,3.6,3,3.6,4,2,1,1,3,3,3.5,3.75,3.4,3.4,3.2,3.8,4,2.6,1,1.2,3.2,4
1230,1,14,2.75,1.75,3.25,2.8,2.4,3,3,4,3.2,3.33,2.4,2.75,2.25,3,2.2,3.4,3.6,3,4,2.8,2.8,3,.,2.62,3.5,2.25,3.25,2.4,2.6,3.4,3.4,4,3,3.33,2.4,2.6,3.5,2.25,2.75,2.6,2.6,2.6,3,3.4,2.8,3.33,2.8,2.8,2.6
1231,1,14,2,2,3,1.8,3.4,3.2,2.8,4,2.8,2.33,2.6,2,2,2.25,2,3,3,2.6,4,2.6,2.8,2.67,.,3.62,1.75,2,2.25,2.6,3.6,3.6,3,3.8,2.4,3,2.6,3,2,2,2.5,2,3.6,2.8,3.2,4,2.2,2.67,2.8,3,2
1232,0,14,2.75,3.5,3.25,3.6,3,3,2.8,3.4,2.8,3.33,3.2,.,.,.,.,.,.,.,.,.,.,.,.,.,4,4,4,4,4,4,3.4,4,2.8,2,3.6,4,3,3.5,3.5,3.6,3.8,3.8,3,4,2.8,2,2.6,2.8,4
1233,0,14,2.75,3,3,3,3.8,2.8,3.2,2.8,3.4,3,3.4,3.25,2.5,3.25,3,3.8,3,3,2.2,3.2,2.8,3,.,1.97,3.5,3,3,3.4,3.8,3,3,3,3.6,3.67,3.2,3.8,3.5,2.75,3.25,3.2,3.8,3,3,2.8,3.2,3,3,4,3
1234,1,14,2,2.5,3.25,2,2.2,3.4,2.2,4,2.8,2,3,2,2.5,3,2,3,3,2.6,3,2.6,2.6,1.67,.,2.64,2,2.5,3.5,2.8,3.2,3,3,3.4,3,2.33,2.6,2.8,2,3,3.5,2.8,2.4,3,3.2,4,2.4,2,3,2.2,2.8
1235,1,14,.,.,.,.,.,.,.,.,.,.,.,2.5,2.5,2.75,1.6,2.4,2.4,2.6,3.2,2,3.2,3.33,.,3.57,.,.,.,.,.,.,.,.,.,.,.,.,2.75,2.25,3,2,2.8,2.6,2.2,1.8,3.2,3,3.2,1.8,2.6
1236,0,15,.,.,.,.,.,.,.,.,.,.,.,4,4,4,3.6,3.4,3,3.6,4,3,3.4,3,.,3.41,2.5,3,3,3,3,2.8,2.8,3,3,2.33,2.4,2.8,2.75,2.5,2.5,2.8,3,3,2.8,3,2.8,2.33,2.8,2.6,2.6
1237,0,14,.,.,.,.,.,.,.,.,.,.,.,3,3,3,3,3,2.8,3,3,3.2,2.6,3,.,2.76,3,3,3,3,3,3,3,3,3,3,3,2.8,3,2.25,3.5,3.4,3,3,3,3,2.4,3.33,2.4,3,2.8
1238,0,14,.,.,.,.,.,.,.,.,.,.,.,3.5,2.5,3.25,3.8,4,2.8,3.6,2.8,2.4,3,3.33,.,2.57,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1239,0,14,.,.,.,.,.,.,.,.,.,.,.,4,3,2.75,3,4,2.4,2.8,2.2,2.8,3,3.33,.,2.86,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1240,1,15,.,.,.,.,.,.,.,.,.,.,.,2.75,3,3.5,3.2,4,3.8,3.6,4,3.2,3,3,2.8,2.8,3.25,2.25,3.25,3.2,4,3.4,3.8,4,3,2,3.2,3.4,3.5,2.5,3.75,3.2,3.8,2.8,3.8,4,3,3,3.2,3.4,3
1241,0,14,.,.,.,.,.,.,.,.,.,.,.,2.75,2.5,4,3.2,3.8,3.2,3.6,4,3.4,3.4,2.33,4,4,3.25,4,4,3.6,4,4,3.8,4,3.6,3,3.2,4,4,4,4,3.4,4,4,4,4,3.6,4,3.4,4,4
1242,1,17,.,.,.,.,.,.,.,.,.,.,.,2.25,2.5,3.25,2.4,3.2,3.8,3.8,4,2.8,2.6,3.33,2.8,2.8,.,.,.,.,.,.,.,.,.,.,.,.,3,4,3.75,3.8,4,4,4,4,2.2,4,4,3.2,3.6
1243,0,15,.,.,.,.,.,.,.,.,.,.,.,4,4,4,4,4,4,4,4,4,3.4,4,4,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1244,1,14,.,.,.,.,.,.,.,.,.,.,.,2,4,4,4,3.8,3.8,3.6,3.8,3,3.2,2.67,3.4,3.4,1.75,4,4,3.4,3.2,3.6,3.4,4,3.2,1.67,2.6,4,2,4,4,3.2,3.8,4,3.8,4,3.2,2.67,3.2,3.8,3.4
1245,1,14,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.25,2.5,2.75,1.4,1.8,3,3.2,3.6,1.6,1.67,3,2,.,.,.,.,.,.,.,.,.,.,.,.,.
1246,0,14,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3.25,2.25,3.5,3.4,3.6,3.6,3.6,3.2,3.4,3.67,3.4,2.6,.,.,.,.,.,.,.,.,.,.,.,.,.
1247,0,14,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2.25,2.5,3.75,3,2.8,1.8,2.6,2.6,2.6,2.67,3,2.8,3.25,2.5,1.75,2.8,2.6,2.8,2.4,1.4,3,3.33,3.2,2.4,2.4
1248,1,15,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,2.75,3.25,3,3.4,3.2,3.6,4,2.4,1.67,2.8,2.8,.,.,.,.,.,.,.,.,.,.,.,.,.
1249,0,14,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,2.5,2.5,2.6,2.2,2.4,2.4,2.6,2.6,2,3,2.8,2.75,2,2.5,2.8,2.8,3.2,3.2,2.4,2.2,2.67,1.4,2.6,2.8
1250,1,17,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,2.5,2.75,2.8,3.6,3.2,3,3.4,3,1.67,2.8,2.4,.,.,.,.,.,.,.,.,.,.,.,.,.
1251,0,15,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2.75,3,3,3.2,2.4,2.8,2.4,2.6,2.6,2.33,1.8,3,2.75,2.5,3,3.4,3,2.2,2.8,2.6,2,3.33,1.6,3,2.6
1252,0,16,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2.25,3.25,3.25,2.2,3,2,2.6,2.8,2.4,1.67,2.2,2.2,2,3.5,3.75,2.4,2,2.8,2.4,3.6,2.4,3,2,2,2.6
1253,0,14,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.5,2.75,4,3,4,1.2,2.2,3.4,1.8,1,2.8,3,1.5,3,4,3,4,1,2.2,4,1.6,1,3.4,2.2,1.6
1254,0,16,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3.5,3.75,4,3.8,4,3.2,3.6,3.8,3.6,1.67,3.2,3.4,.,.,.,.,.,.,.,.,.,.,.,.,.
1255,0,15,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3.25,4,4,4,4,3.8,2.4,4,1.6,2.33,3.4,4,2,4,4,3,3.8,3.2,3,3,2.2,1,4,3.2,4
1256,1,15,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2.5,2.75,2.75,2.6,2.6,3,2.4,2.8,2.6,2,2.2,2.6,2.4
1257,0,15,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3.75,4,4,4,4,4,3.4,4,3.8,4,3.2,4,3.2
1258,1,15,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.75,2.25,2.75,2.6,1.6,2.2,3,4,2.2,1,3,2.6,3.8
1259,0,15,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2.75,2.75,1.75,1.6,2.4,2.8,2.4,2.4,2.6,3.67,1.8,2.6,2
1260,0,15,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2.75,2.75,2.5,2.8,2.4,2.6,2.6,2.4,2.6,2.67,2.4,2.6,2.4
1261,0,15,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,2.25,2.75,2.6,2.2,3.2,2.6,3,2,2.67,2.4,2.4,2.8
1262,0,15,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,1.5,2,2,2.8,2.8,2.8,3,2.8,2.33,3.8,3,2
1263,0,15,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2.75,1.75,2.25,1.8,2.4,3,3.2,2,2.8,4,3.4,2.4,3
